identifier,name,priority,description,prerequisites,rewards,trophyIcon,descriptionIcon,invisible
String,String,Integer,String,String,String,String,String,Integer
lv2,,,,,,,,1
lv3,,,,lv2,,,,1
lv4,,,,lv3,,,,1
lv5,,,,lv4,,,,1
lv6,,,,lv5,,,,1
lv7,,,,lv6,,,,1
lv8,,,,lv7,,,,1
lv9,,,,lv8,,,,1
lv10,,,,lv9,,,,1
lv11,,,,lv10,,,,1
lv12,,,,lv11,,,,1
lv13,,,,lv12,,,,1
lv14,,,,lv13,,,,1
lv15,,,,lv14,,,,1
lv16,,,,lv15,,,,1
lv17,,,,lv16,,,,1
lv18,,,,lv17,,,,1
lv19,,,,lv18,,,,1
lv20,,,,lv19,,,,1
lv21,,,,lv20,,,,1
lv22,,,,lv21,,,,1
lv23,,,,lv22,,,,1
lv24,,,,lv23,,,,1
lv25,,,,lv24,,,,1
lv26,,,,lv25,,,,1
lv27,,,,lv26,,,,1
lv28,,,,lv27,,,,1
lv29,,,,lv28,,,,1
lv30,,,,lv29,,,,1
lv31,,,,lv30,,,,1
lv32,,,,lv31,,,,1
lv33,,,,lv32,,,,1
lv34,,,,lv33,,,,1
lv35,,,,lv34,,,,1
lv36,,,,lv35,,,,1
lv37,,,,lv36,,,,1
lv38,,,,lv37,,,,1
lv39,,,,lv38,,,,1
lv40,,,,lv39,,,,1
lv41,,,,lv40,,,,1
lv42,,,,lv41,,,,1
lv43,,,,lv42,,,,1
lv44,,,,lv43,,,,1
lv45,,,,lv44,,,,1
lv46,,,,lv45,,,,1
lv47,,,,lv46,,,,1
lv48,,,,lv47,,,,1
lv49,,,,lv48,,,,1
a1,Yay! Kids! Trophy,9,"Make the hotel fun for kids, too!",lv3,Coins:50,kids_trophy.png,nanny1_icon.png,
a2,Top Notch Trophy,8,"Spruce up your Pet Hotel! With staff and decorations, it will be world class in no time!",lv6-a1,Coins:150-Exp:3,feeding_frenzy_trophy.png,foodServer1-bgIcon.png,
a3,Bigger 'n Better Trophy,8,Keep on growing your awesome hotel!,lv5-a2,Coins:150-Exp:5,bigger_n_better_trophy.png,expand_up_button.png,
a50,Caring Bear Trophy (Step 1/4),11,"Happy, healthy, and loved pets make the best guests! Let's start by showing your pets some love and companionship. There's a special prize waiting for YOU at the end, so check your progress in the Guestbook!",lv5-a1,Coins:150-Exp:3,nurturing_trophy.png,nurturing_flavor_icon.png,
a51,Caring Bear Trophy (Step 2/4),11,"Next, visit Party Rooms so your pets can have a rip-roaring good time! Don't forget to see your progress in the Guest Book after your visit! You're one step closer to a special prize!",lv10-a50,Coins:300-Exp:5,nurturing_trophy.png,nurturing_flavor_icon.png,
a52,Caring Bear Trophy (Step 3/4),11,Almost there! Can you hear those grumbling stomachs?! Better cook up a meal and feed your hungry pets! They'll be satisfied and you'll be on your way to a special prize!,lv12-a51,Coins:500-Exp:10,nurturing_trophy.png,nurturing_flavor_icon.png,
a53,Caring Bear Trophy (Step 4/4),11,"Your pets have that warm, fuzzy feeling from being well taken care of! You're the best! Go to the Guestbook and ""Complete"" your pet to get your prize!",a52,Coins:800-Exp:15,nurturing_trophy.png,nurturing_flavor_icon.png,
a35,Friendly Neighbor Trophy,12,Help out your neighbors! Visit neighbors and tap their coins and their pets will leave them a bigger tip! They'll be more likely to help you in return!,lv6,Coins:150-Exp:3,estatic_trophy.png,bellboy_flavor_icon.png,
a36,Ranking it in Trophy,12,"As you improve your Social Rank, your neighbors are more likely to tap your coins! Tapping neighbors' coins will help you move up through the ranks!",lv6-a35,Coins:0-Exp:0,visit_neighbor_trophy.png,bellboy_flavor_icon.png,
a37,Social Butterfly Trophy,12,Tap your neighbors' coins as often as possible and someday you might become a Hotel Billionaire!,lv6-a36,Coins:0-Exp:0,social_exp_trophy.png,bellboy_flavor_icon.png,
a4,Team Building Trophy,4,"Staff will take care of all your pets' needs. Hire wisely, and your pets will thank you!",lv12-a37,Coins:500-Exp:15,team_building_trophy.png,ball2-bgIcon.png,
a5,Connect the Dots Trophy,4,Pets love to travel around the hotel. Build connectors and they'll be free to roam!,lv10-a3,Coins:250-Exp:4,connect_the_dots_trophy.png,connector_playground_bridge_icon.png,
