FID,Type,Item name,Icon filename,Required level,Levels,Level0Filename,Level0PNGColorSpace,Level0BuildUnit,Level0BuildCost,Level0BuildXP,Level0EarnTime,Level0EarnUnit,Level0EarnAmount,Level0EarnXP,Level0BuildTime,Level1Filename,Level1PNGColorSpace,Level1BuildUnit,Level1BuildCost,Level1BuildXP,Level1EarnTime,Level1EarnUnit,Level1EarnAmount,Level1EarnXP,Level1BuildTime,Level2Filename,Level2PNGColorSpace,Level2BuildUnit,Level2BuildCost,Level2BuildXP,Level2EarnTime,Level2EarnUnit,Level2EarnAmount,Level2EarnXP,Level2BuildTime,Width,Height,PetRoomName,PetFaceIcon,DateOfStartOffer,DateOfEndOffer,PercentOffBuildCost,PercentOffRushCost,DateOfStartSale,DateOfEndSale,Category
String,String,String,String,Integer,Integer,String,String,String,Integer,Integer,Integer,String,Integer,Integer,Integer,String,String,String,Integer,Integer,Integer,String,Integer,Integer,Integer,String,String,String,Integer,Integer,Integer,String,Integer,Integer,Integer,Integer,Integer,String,String,String,String,Integer,Integer,String,String,String
1,GuestRoom,BEETLE FORT,beetlefort_icon.png,1,2,trunk_construction1_1x1.pvr,Automatic,coins,20,0,0,coins,0,0,1,trunk_construction2_1x1.pvr,Automatic,coins,8,0,0,coins,0,0,3,beetlefort_1x1_1.pvr,Automatic,coins,10,1,120,coins,4,1,3,200,200,Beetle,,,,,,,,0
2,GuestRoom,DAYCARE,daycare_icon.png,3,2,leaves_construction1_2x1.pvr,Automatic,treats,9,2,0,coins,0,0,1,leaves_construction2_2x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,daycare_2x1_1.pvr,Automatic,coins,1,0,7200,coins,320,36,3,400,200,Toddler,,,,,,,,2
3,GuestRoom,SCULPTURE ROOM,sculptureroom_icon.png,9,2,underground_construction1_2x1.pvr,Automatic,coins,30000,356,0,coins,0,0,1,underground_construction2_2x1.pvr,Automatic,coins,8000,144,0,coins,0,0,3,sculptureroom_2x1_2.pvr,Automatic,coins,10000,180,172800,coins,20000,2224,115200,400,200,Grasshopper,,,,,,,,3
4,GuestRoom,ANT HOME,anthome_icon.png,2,2,trunk_construction1_2x1.pvr,Automatic,coins,50,1,0,coins,0,0,1,trunk_construction2_2x1.pvr,Automatic,coins,20,0,0,coins,0,0,3,anthome_2x1_1.pvr,Automatic,coins,25,1,1800,coins,30,3,3,400,200,Ant,,,,,,,,0
5,GuestRoom,FASHION SHOW,fashionshow_icon.png,3,2,meadow_construction1_1x3.pvr,Automatic,coins,200,2,0,coins,0,0,1,meadow_construction2_1x3.pvr,Automatic,coins,80,1,0,coins,0,0,3,fashionshow_1x3_1.pvr,Automatic,coins,100,1,10800,coins,400,44,5400,200,600,Ladybug,,,,,,,,1
6,GuestRoom,BEETLE BAR,barroom_icon.png,11,2,underground_construction1_2x1.pvr,Automatic,treats,30,88,0,coins,0,0,1,underground_construction2_2x1.pvr,Automatic,coins,1,0,0,coins,0,0,3,barroom_2x1_2.pvr,Automatic,coins,1,0,69120,coins,8000,890,3,400,200,Bartender Beetle,,,,,,,,3
7,GuestRoom,DINER,diner_icon.png,4,2,trunk_construction1_2x1.pvr,Automatic,coins,500,6,0,coins,0,0,1,trunk_construction2_2x1.pvr,Automatic,coins,200,2,0,coins,0,0,3,diner_2x1_1.pvr,Automatic,coins,245,3,10800,coins,500,56,10800,400,200,Waitress,,,,,,,,0
8,GuestRoom,CAMP FIRE,campfire_icon.png,3,2,meadow_construction1_1x1.pvr,Automatic,coins,75,2,0,coins,0,0,1,meadow_construction2_1x1.pvr,Automatic,coins,30,1,0,coins,0,0,3,campfire_1x1_1.pvr,Automatic,coins,38,1,2700,coins,64,7,1800,200,200,Firefly,,,,,,,,1
9,GuestRoom,BUTTERFLY ROOM,butterflyroom_icon.png,3,2,meadow_construction1_1x3.pvr,Automatic,treats,4,2,0,coins,0,0,1,meadow_construction2_1x3.pvr,Automatic,coins,1,0,0,coins,0,0,3,butterflyroom_1x3_1.pvr,Automatic,coins,1,0,2376,coins,64,7,3,200,600,Butterfly,,,,,,,,1
